,Filme,Animação,Família,Aventura,Comédia,Ficção científica,Ação,Drama,Crime,Thriller,Fantasia,Guerra,Terror,Mistério,Romance,História,Música
0,Divertida Mente 2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Planeta dos Macacos: O Reinado,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2,Divertida Mente,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3,Bad Boys: Até o Fim,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
4,Amigos Imaginários,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5,Godzilla e Kong: O Novo Império,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
6,Guerra Civil,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
7,Kung Fu Panda 4,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
8,O Tarô da Morte,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,O Dublê,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10,Duna: Parte Dois,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Furiosa: Uma Saga Mad Max,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
12,Bad Boys Para Sempre,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
13,A Primeira Profecia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Garfield - Fora de Casa,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Patos!,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
16,Godzilla Minus One,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
17,Imaculada,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
18,Assassino por Acaso,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
19,I Saw the TV Glow,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20,Os Bad Boys,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
21,Ghostbusters: Apocalipse de Gelo,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
22,Contra o Mundo,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
23,Velozes & Furiosos 10,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
24,Oppenheimer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
25,Madame Teia,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
26,Alienoid,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
27,Batman,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
28,Tenet,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
29,Entrevista com o Demônio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,Caça-Fantasmas,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
31,Abigail,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
32,Os Bad Boys II,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
33,Duna,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
34,Elementos,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
35,O Exterminador do Futuro,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
36,Mulher-Maravilha,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
37,Thor: Ragnarok,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
38,The Flash,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
39,Barbie,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Matrix,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41,Wish: O Poder dos Desejos,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
42,Alien: O Oitavo Passageiro,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
43,Super Mario Bros. O Filme,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
44,Deadpool,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
45,Wonka,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
46,Coringa,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
47,As Marvels,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
48,Zona de Risco,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
49,Red: Crescer é Uma Fera,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
50,Capitã Marvel,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
51,X: A Marca da Morte,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
52,Interestelar,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
53,Os Três Mosqueteiros: Milady,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
54,Logan,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
55,Aquaman,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
56,Garfield: O Filme,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,John Wick 4: Baba Yaga,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
58,Pulp Fiction: Tempo de Violência,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
59,Homem de Ferro 2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
60,Pantera Negra,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
61,Serenity: A Luta Pelo Amanhã,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
62,Donzela,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
63,Todos Menos Você,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
64,2001: Uma Odisséia no Espaço,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
65,Transformers: O Despertar das Feras,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
66,Guerra nas Estrelas,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
67,Rocky: Um Lutador,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,Homem-Aranha: Através do Aranhaverso,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
69,Planeta dos Macacos: O Confronto,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
70,Venom,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71,Donnie Darko,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
72,Vingadores: Guerra Infinita,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
73,Homem-Aranha: Sem Volta Para Casa,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
74,O Predador,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
75,Planeta dos Macacos: A Guerra,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
76,Alien: Covenant,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
77,A Origem,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
78,A Chegada,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
79,Con Air: A Rota da Fuga,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
80,007: Contra Spectre,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
81,Green Book: O Guia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
82,Gravidade,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
83,A Caçada,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
84,Superman: O Filme,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
85,Gato de Botas 2: O Último Pedido,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
86,Maze Runner: Correr ou Morrer,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
87,Triplo X,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
88,Deadpool 2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
89,RoboCop - O Policial do Futuro,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
90,Missão: Impossível - Acerto de Contas Parte 1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
91,Beekeeper: Rede de Vingança,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
92,Mad Max: Estrada da Fúria,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
93,Coraline e o Mundo Secreto,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,SPY x FAMILY - CÓDIGO: Branco,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
95,Morbius,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
96,Um Laço de Amor,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
97,Fragmentado,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
98,Megatubarão 2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
99,Um Lugar Silencioso - Parte II,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
100,Aquaman 2: O Reino Perdido,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
101,Baywatch: S.O.S. Malibu,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
102,X-Men: Fênix Negra,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
103,Em Ritmo de Fuga,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
104,Cidade das Sombras,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
105,Cidadão Kane,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
106,Doutor Estranho,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
107,Pleasure,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,Shrek,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
109,Um Lugar Silencioso,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
110,Jogos Vorazes: A Cantiga dos Pássaros e das Serpentes,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
111,Resistência,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
112,Encanto,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
113,Rivais,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
114,O Juiz,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,Babilônia,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
116,Halloween,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
117,Os Mercenários 4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
118,Creepshow: Arrepio do Medo,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
119,Taxi Driver: Motorista de Táxi,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
120,Homem-Aranha: De Volta ao Lar,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
121,Harry Potter e a Pedra Filosofal,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
122,Meu Malvado Favorito,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123,Viúva Negra,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
124,Five Nights at Freddy's - O Pesadelo Sem Fim,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
125,Operação Big Hero,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
126,Avatar: O Caminho da Água,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
127,Imaginário: Brinquedo Diabólico,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
128,A Freira 2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,Scarface,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
130,O Esquadrão Suicida,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
131,Origin,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,Logan Lucky: Roubo em Família,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
133,Tubarão,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
134,Som da Liberdade,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
135,Silêncio,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
136,Liga da Justiça,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
137,Seven: Os Sete Crimes Capitais,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
138,Missão: Impossível - Efeito Fallout,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
139,O Protetor: Capítulo Final,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
140,Vingadores: Ultimato,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
141,IT: Capítulo Dois,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,Desejo de Matar,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
143,Viva: A Vida é uma Festa,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
144,Um Sonho de Liberdade,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
145,Herói por Encomenda,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
146,O Hobbit: A Batalha dos Cinco Exércitos,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
147,O Senhor dos Anéis: A Sociedade do Anel,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
148,Top Gun: Maverick,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
149,Os Vingadores: The Avengers,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
150,A Profecia,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
151,A Pequena Sereia,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
152,Creed III,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
153,Titanic,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
154,Monstros S.A.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,O Vingador do Futuro,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
156,Venom: Tempo de Carnificina,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
157,Conta Comigo,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
158,A Freira,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,A Múmia,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0
160,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
161,Piratas do Caribe: A Maldição do Pérola Negra,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
162,Guardiões da Galáxia: Vol. 3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
163,Minions 2: A Origem de Gru,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
164,Pobres Criaturas,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
165,Pantera Negra: Wakanda para Sempre,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
166,Jurassic World: Domínio,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
167,Chinatown,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
168,Coração Satânico,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
169,Shrek 2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
170,It: A Coisa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
171,Up: Altas Aventuras,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
172,Toy Story: Um Mundo de Aventuras,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
173,Harry Potter e o Prisioneiro de Azkaban,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
174,Forrest Gump: O Contador de Histórias,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
175,Os Caça-Fantasmas,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
176,Napoleão,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
177,O Cruel Ministério da Guerra,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
178,Fuga no Século 23,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
179,O Rei Leão,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
180,Sonic 2: O Filme,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
181,Invocação do Mal,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
182,Até o Último Homem,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
183,Assassinos da Lua das Flores,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
184,Invocação do Mal 3: A Ordem do Demônio,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
185,Shazam!,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
186,Corra!,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
187,Jurassic World: Reino Ameaçado,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
188,Meu Malvado Favorito 2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
189,A Guerra do Amanhã,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
190,Mulher-Maravilha 1984,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
191,Arranha-Céu: Coragem Sem Limite,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
192,Jogos Mortais X,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
193,Argylle: O Superespião,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
194,Star Trek: Sem Fronteiras,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
195,O Rei Leão,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,O Segredo do Abismo,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
197,Os Bons Companheiros,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
198,Besouro Azul,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
199,Meu Amigo Robô,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
200,Homem de Ferro 3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
201,Thor: Amor e Trovão,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
202,Fúria Primitiva,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
203,Harry Potter e o Cálice de Fogo,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
204,Planeta dos Macacos: A Origem,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
205,A Experiência,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
206,Sing 2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
207,O Senhor dos Anéis: O Retorno do Rei,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
208,Creed II,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
209,Lady Bird - A Hora de Voar,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
210,Como Eu Era Antes de Você,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
211,Anônimo,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
212,Harry Potter e a Câmara Secreta,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
213,Gênio Indomável,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
214,A Chamada,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
