,Filme,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5,Nota 6,Nota 7,Nota 8,Nota 9,Nota 10
0,Aquaman 2: O Reino Perdido,60%,60%,85%,75%,80%,70%,80%,,,
1,Baywatch: S.O.S. Malibu,75%,70%,80%,60%,60%,,,,,
2,X-Men: Fênix Negra,90%,85%,60%,85%,70%,70%,50%,60%,50%,70%
3,Em Ritmo de Fuga,85%,80%,80%,70%,90%,80%,60%,90%,90%,90%
4,Cidade das Sombras,90%,70%,,,,,,,,
5,Cidadão Kane,90%,100%,70%,90%,60%,70%,100%,50%,100%,80%
6,Doutor Estranho,70%,70%,70%,75%,80%,100%,90%,70%,95%,70%
7,Pleasure,70%,,,,,,,,,
8,Shrek,100%,100%,90%,70%,,,,,,
9,Um Lugar Silencioso,80%,80%,60%,100%,50%,70%,80%,90%,90%,70%
10,Jogos Vorazes: A Cantiga dos Pássaros e das Serpentes,70%,80%,70%,50%,60%,,,,,
11,Resistência,85%,70%,80%,70%,60%,100%,50%,70%,70%,60%
12,Encanto,70%,75%,80%,80%,70%,,,,,
13,Rivais,80%,90%,70%,90%,70%,,,,,
14,O Juiz,80%,60%,,,,,,,,
15,Babilônia,50%,90%,70%,60%,60%,,,,,
16,Halloween,70%,60%,60%,70%,60%,80%,90%,80%,70%,70%
17,Os Mercenários 4,60%,40%,70%,60%,70%,,,,,
18,Creepshow: Arrepio do Medo,80%,50%,,,,,,,,
19,Taxi Driver: Motorista de Táxi,70%,100%,70%,,,,,,,
20,Homem-Aranha: De Volta ao Lar,70%,70%,90%,70%,70%,100%,90%,50%,80%,80%
21,Harry Potter e a Pedra Filosofal,80%,90%,80%,70%,,,,,,
22,Meu Malvado Favorito,90%,,,,,,,,,
23,Viúva Negra,70%,80%,85%,70%,70%,80%,70%,90%,60%,90%
24,Five Nights at Freddy's - O Pesadelo Sem Fim,90%,70%,80%,85%,70%,100%,70%,70%,70%,
