,Filme,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5,Nota 6,Nota 7,Nota 8,Nota 9,Nota 10
0,Divertida Mente 2,80%,90%,60%,85%,80%,70%,,,,
1,Planeta dos Macacos: O Reinado,70%,70%,60%,60%,80%,,,,,
2,Divertida Mente,70%,80%,80%,70%,70%,80%,85%,70%,60%,50%
3,Bad Boys: Até o Fim,70%,,,,,,,,,
4,Amigos Imaginários,80%,70%,70%,85%,,,,,,
5,Godzilla e Kong: O Novo Império,70%,70%,60%,50%,70%,60%,70%,60%,60%,70%
6,Guerra Civil,80%,90%,60%,80%,70%,90%,70%,70%,,
7,Kung Fu Panda 4,60%,60%,85%,80%,60%,,,,,
8,O Tarô da Morte,80%,75%,85%,70%,70%,,,,,
9,O Dublê,80%,80%,70%,75%,85%,75%,,,,
10,Duna: Parte Dois,100%,90%,70%,90%,90%,80%,80%,70%,70%,90%
11,Furiosa: Uma Saga Mad Max,80%,70%,70%,60%,80%,75%,80%,,,
12,Bad Boys Para Sempre,50%,75%,90%,50%,70%,70%,60%,,,
13,A Primeira Profecia,60%,60%,60%,80%,60%,,,,,
14,Garfield - Fora de Casa,60%,75%,70%,70%,,,,,,
15,Patos!,60%,70%,,,,,,,,
16,Godzilla Minus One,80%,80%,60%,70%,70%,80%,90%,70%,70%,70%
17,Imaculada,60%,70%,50%,,,,,,,
18,Assassino por Acaso,80%,70%,90%,60%,,,,,,
19,I Saw the TV Glow,70%,,,,,,,,,
20,Os Bad Boys,80%,70%,70%,90%,,,,,,
21,Ghostbusters: Apocalipse de Gelo,60%,90%,60%,,,,,,,
22,Contra o Mundo,60%,60%,60%,,,,,,,
23,Velozes & Furiosos 10,90%,70%,90%,60%,75%,90%,90%,90%,50%,80%
24,Oppenheimer,80%,70%,90%,70%,70%,80%,80%,90%,100%,90%
25,Madame Teia,50%,80%,70%,70%,70%,80%,70%,70%,,
26,Alienoid,60%,,,,,,,,,
27,Batman,70%,80%,90%,90%,70%,70%,90%,80%,100%,60%
28,Tenet,60%,80%,90%,100%,60%,70%,60%,75%,70%,40%
29,Entrevista com o Demônio,70%,60%,80%,80%,,,,,,
30,Caça-Fantasmas,85%,60%,80%,70%,70%,60%,60%,90%,60%,80%
31,Abigail,70%,60%,65%,,,,,,,
32,Os Bad Boys II,80%,,,,,,,,,
33,Duna,70%,70%,60%,70%,80%,40%,60%,80%,80%,100%
34,Elementos,75%,85%,80%,90%,90%,80%,,,,
35,O Exterminador do Futuro,90%,100%,90%,95%,70%,90%,70%,,,
36,Mulher-Maravilha,90%,70%,60%,60%,80%,80%,70%,80%,70%,70%
37,Thor: Ragnarok,80%,80%,80%,80%,65%,80%,90%,70%,85%,85%
38,The Flash,70%,82%,70%,70%,90%,70%,50%,100%,70%,70%
39,Barbie,70%,90%,80%,70%,70%,80%,50%,85%,70%,70%
40,Matrix,95%,70%,100%,70%,90%,100%,100%,70%,70%,
41,Wish: O Poder dos Desejos,90%,70%,,,,,,,,
42,Alien: O Oitavo Passageiro,80%,70%,100%,80%,70%,90%,70%,70%,100%,
43,Super Mario Bros. O Filme,80%,60%,80%,90%,70%,100%,60%,70%,50%,70%
44,Deadpool,95%,70%,65%,90%,70%,80%,60%,70%,100%,70%
45,Wonka,70%,80%,70%,70%,60%,80%,80%,70%,60%,
46,Coringa,90%,70%,90%,70%,90%,80%,90%,80%,90%,75%
47,As Marvels,70%,60%,50%,75%,60%,90%,70%,60%,70%,
48,Zona de Risco,60%,60%,90%,50%,70%,,,,,
49,Red: Crescer é Uma Fera,90%,80%,80%,90%,90%,80%,60%,80%,70%,70%
50,Capitã Marvel,90%,70%,80%,60%,85%,50%,70%,100%,70%,50%
51,X: A Marca da Morte,80%,50%,70%,60%,70%,,,,,
52,Interestelar,90%,95%,70%,100%,70%,75%,80%,75%,90%,90%
53,Os Três Mosqueteiros: Milady,70%,,,,,,,,,
54,Logan,70%,80%,80%,80%,90%,70%,70%,70%,70%,70%
55,Aquaman,70%,70%,80%,60%,80%,70%,70%,70%,60%,60%
56,Garfield: O Filme,80%,60%,,,,,,,,
57,John Wick 4: Baba Yaga,80%,80%,90%,60%,80%,100%,100%,80%,80%,90%
58,Pulp Fiction: Tempo de Violência,90%,70%,70%,70%,100%,60%,,,,
59,Homem de Ferro 2,70%,65%,60%,75%,90%,70%,70%,50%,60%,60%
60,Pantera Negra,70%,80%,70%,75%,70%,90%,70%,60%,60%,65%
61,Serenity: A Luta Pelo Amanhã,75%,70%,70%,,,,,,,
62,Donzela,65%,60%,90%,80%,70%,50%,90%,85%,80%,
63,Todos Menos Você,70%,70%,,,,,,,,
64,2001: Uma Odisséia no Espaço,80%,80%,70%,60%,80%,70%,70%,70%,70%,80%
65,Transformers: O Despertar das Feras,90%,70%,60%,60%,100%,70%,60%,,,
66,Guerra nas Estrelas,70%,100%,100%,60%,100%,90%,,,,
67,Rocky: Um Lutador,100%,70%,70%,,,,,,,
68,Homem-Aranha: Através do Aranhaverso,95%,60%,80%,70%,70%,70%,90%,70%,60%,
69,Planeta dos Macacos: O Confronto,80%,70%,70%,,,,,,,
70,Venom,60%,80%,70%,70%,70%,90%,80%,80%,80%,80%
71,Donnie Darko,70%,60%,90%,60%,,,,,,
72,Vingadores: Guerra Infinita,60%,65%,80%,90%,95%,85%,80%,60%,60%,100%
73,Homem-Aranha: Sem Volta Para Casa,70%,90%,100%,80%,90%,100%,100%,100%,80%,50%
74,O Predador,100%,70%,60%,70%,90%,,,,,
75,Planeta dos Macacos: A Guerra,80%,70%,70%,80%,60%,,,,,
76,Alien: Covenant,90%,60%,70%,90%,60%,100%,70%,85%,70%,70%
77,A Origem,90%,80%,60%,90%,70%,70%,60%,,,
78,A Chegada,70%,85%,70%,80%,80%,90%,100%,50%,80%,60%
79,Con Air: A Rota da Fuga,80%,80%,80%,60%,,,,,,
80,007: Contra Spectre,75%,70%,70%,90%,70%,60%,90%,70%,90%,
81,Green Book: O Guia,60%,60%,90%,90%,70%,80%,80%,,,
82,Gravidade,60%,60%,90%,80%,,,,,,
83,A Caçada,70%,80%,90%,70%,80%,90%,90%,80%,100%,
84,Superman: O Filme,90%,100%,60%,70%,,,,,,
85,Gato de Botas 2: O Último Pedido,90%,100%,70%,100%,80%,,,,,
86,Maze Runner: Correr ou Morrer,50%,70%,70%,95%,90%,90%,,,,
87,Triplo X,60%,,,,,,,,,
88,Deadpool 2,60%,90%,80%,90%,60%,90%,100%,70%,80%,
89,RoboCop - O Policial do Futuro,80%,90%,60%,60%,100%,,,,,
90,Missão: Impossível - Acerto de Contas Parte 1,90%,70%,80%,70%,70%,60%,90%,80%,80%,60%
91,Beekeeper: Rede de Vingança,60%,60%,60%,70%,80%,90%,90%,100%,,
92,Mad Max: Estrada da Fúria,70%,70%,70%,60%,90%,100%,70%,90%,70%,60%
93,Coraline e o Mundo Secreto,90%,100%,90%,,,,,,,
94,SPY x FAMILY - CÓDIGO: Branco,70%,,,,,,,,,
95,Morbius,70%,60%,50%,60%,85%,80%,80%,50%,80%,
96,Um Laço de Amor,85%,40%,80%,80%,70%,,,,,
97,Fragmentado,60%,100%,70%,80%,80%,90%,70%,,,
98,Megatubarão 2,85%,50%,75%,40%,,,,,,
99,Um Lugar Silencioso - Parte II,80%,70%,70%,75%,70%,80%,80%,60%,,
100,Aquaman 2: O Reino Perdido,60%,60%,85%,75%,80%,70%,80%,,,
101,Baywatch: S.O.S. Malibu,75%,70%,80%,60%,60%,,,,,
102,X-Men: Fênix Negra,90%,85%,60%,85%,70%,70%,50%,60%,50%,70%
103,Em Ritmo de Fuga,85%,80%,80%,70%,90%,80%,60%,90%,90%,90%
104,Cidade das Sombras,90%,70%,,,,,,,,
105,Cidadão Kane,90%,100%,70%,90%,60%,70%,100%,50%,100%,80%
106,Doutor Estranho,70%,70%,70%,75%,80%,100%,90%,70%,95%,70%
107,Pleasure,70%,,,,,,,,,
108,Shrek,100%,100%,90%,70%,,,,,,
109,Um Lugar Silencioso,80%,80%,60%,100%,50%,70%,80%,90%,90%,70%
110,Jogos Vorazes: A Cantiga dos Pássaros e das Serpentes,70%,80%,70%,50%,60%,,,,,
111,Resistência,85%,70%,80%,70%,60%,100%,50%,70%,70%,60%
112,Encanto,70%,75%,80%,80%,70%,,,,,
113,Rivais,80%,90%,70%,90%,70%,,,,,
114,O Juiz,80%,60%,,,,,,,,
115,Babilônia,50%,90%,70%,60%,60%,,,,,
116,Halloween,70%,60%,60%,70%,60%,80%,90%,80%,70%,70%
117,Os Mercenários 4,60%,40%,70%,60%,70%,,,,,
118,Creepshow: Arrepio do Medo,80%,50%,,,,,,,,
119,Taxi Driver: Motorista de Táxi,70%,100%,70%,,,,,,,
120,Homem-Aranha: De Volta ao Lar,70%,70%,90%,70%,70%,100%,90%,50%,80%,80%
121,Harry Potter e a Pedra Filosofal,80%,90%,80%,70%,,,,,,
122,Meu Malvado Favorito,90%,,,,,,,,,
123,Viúva Negra,70%,80%,85%,70%,70%,80%,70%,90%,60%,90%
124,Five Nights at Freddy's - O Pesadelo Sem Fim,90%,70%,80%,85%,70%,100%,70%,70%,70%,
125,Operação Big Hero,80%,70%,80%,90%,70%,70%,70%,90%,70%,90%
126,Avatar: O Caminho da Água,60%,70%,80%,100%,90%,85%,70%,80%,70%,75%
127,Imaginário: Brinquedo Diabólico,80%,85%,,,,,,,,
128,A Freira 2,70%,60%,85%,90%,,,,,,
129,Scarface,90%,90%,50%,,,,,,,
130,O Esquadrão Suicida,80%,70%,70%,90%,80%,90%,80%,80%,90%,80%
131,Origin,70%,70%,80%,,,,,,,
132,Logan Lucky: Roubo em Família,90%,70%,,,,,,,,
133,Tubarão,100%,90%,70%,80%,90%,80%,,,,
134,Som da Liberdade,70%,90%,70%,70%,60%,,,,,
135,Silêncio,70%,,,,,,,,,
136,Liga da Justiça,85%,80%,80%,70%,60%,90%,90%,85%,60%,70%
137,Seven: Os Sete Crimes Capitais,100%,100%,70%,70%,80%,,,,,
138,Missão: Impossível - Efeito Fallout,100%,60%,100%,70%,100%,50%,70%,,,
139,O Protetor: Capítulo Final,60%,85%,70%,100%,80%,70%,80%,80%,,
140,Vingadores: Ultimato,90%,85%,100%,100%,60%,90%,70%,60%,70%,70%
141,IT: Capítulo Dois,80%,50%,90%,70%,70%,70%,80%,50%,70%,100%
142,Desejo de Matar,60%,90%,80%,70%,70%,60%,,,,
143,Viva: A Vida é uma Festa,50%,90%,70%,65%,70%,,,,,
144,Um Sonho de Liberdade,90%,100%,60%,70%,95%,65%,70%,90%,80%,70%
145,Herói por Encomenda,70%,85%,,,,,,,,
146,O Hobbit: A Batalha dos Cinco Exércitos,90%,90%,50%,70%,,,,,,
147,O Senhor dos Anéis: A Sociedade do Anel,70%,100%,70%,80%,90%,80%,70%,100%,80%,
148,Top Gun: Maverick,90%,90%,80%,70%,60%,85%,100%,60%,100%,70%
149,Os Vingadores: The Avengers,80%,90%,70%,80%,85%,90%,85%,70%,70%,95%
150,A Profecia,70%,70%,70%,,,,,,,
151,A Pequena Sereia,60%,60%,80%,60%,,,,,,
152,Creed III,90%,80%,60%,70%,60%,80%,,,,
153,Titanic,90%,70%,70%,70%,70%,,,,,
154,Monstros S.A.,90%,70%,,,,,,,,
155,O Vingador do Futuro,85%,60%,70%,80%,100%,,,,,
156,Venom: Tempo de Carnificina,70%,70%,70%,90%,60%,70%,50%,70%,60%,60%
157,Conta Comigo,100%,80%,90%,,,,,,,
158,A Freira,90%,80%,60%,70%,60%,70%,90%,,,
159,A Múmia,70%,70%,70%,60%,80%,60%,70%,60%,70%,
160,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",90%,100%,,,,,,,,
161,Piratas do Caribe: A Maldição do Pérola Negra,90%,100%,70%,,,,,,,
162,Guardiões da Galáxia: Vol. 3,90%,90%,90%,80%,70%,,,,,
163,Minions 2: A Origem de Gru,60%,80%,90%,70%,80%,,,,,
164,Pobres Criaturas,90%,80%,70%,100%,90%,60%,60%,90%,90%,80%
165,Pantera Negra: Wakanda para Sempre,70%,70%,60%,70%,70%,80%,70%,85%,70%,50%
166,Jurassic World: Domínio,90%,70%,80%,70%,60%,70%,70%,85%,60%,80%
167,Chinatown,95%,100%,70%,,,,,,,
168,Coração Satânico,70%,,,,,,,,,
169,Shrek 2,80%,,,,,,,,,
170,It: A Coisa,70%,70%,70%,80%,90%,80%,80%,70%,70%,
171,Up: Altas Aventuras,80%,90%,70%,,,,,,,
172,Toy Story: Um Mundo de Aventuras,80%,90%,70%,70%,,,,,,
173,Harry Potter e o Prisioneiro de Azkaban,70%,90%,80%,,,,,,,
174,Forrest Gump: O Contador de Histórias,100%,70%,,,,,,,,
175,Os Caça-Fantasmas,80%,90%,70%,85%,,,,,,
176,Napoleão,70%,70%,30%,70%,60%,90%,60%,60%,60%,60%
177,O Cruel Ministério da Guerra,70%,,,,,,,,,
